n,topo_dir,kp_class,density,seed,n_nodes,n_arcs,topology,n_macroitems,algorithm_ms
1000,inforest,neg_uncorr,tree,2,1000,999,inforest,535,5.287000
1000,inforest,neg_uncorr,tree,3,1000,999,inforest,510,5.108000
1000,inforest,neg_uncorr,tree,4,1000,999,inforest,478,5.006000
1000,inforest,neg_uncorr,tree,5,1000,999,inforest,502,4.841000
1000,inforest,neg_uncorr,tree,6,1000,999,inforest,506,4.506000
1000,inforest,neg_uncorr,tree,7,1000,999,inforest,489,4.047000
1000,inforest,neg_uncorr,tree,8,1000,999,inforest,500,5.334000
1000,inforest,neg_uncorr,tree,9,1000,999,inforest,498,6.589000
1000,inforest,neg_uncorr,tree,10,1000,999,inforest,511,5.909000
1000,inforest,neg_weakly_corr,dense,1,1000,905,inforest,492,3.780000
1000,inforest,neg_weakly_corr,dense,2,1000,902,inforest,486,2.440000
1000,inforest,neg_weakly_corr,dense,3,1000,894,inforest,472,2.964000
1000,inforest,neg_weakly_corr,dense,4,1000,900,inforest,435,4.638000
1000,inforest,neg_weakly_corr,dense,5,1000,912,inforest,466,5.383000
1000,inforest,neg_weakly_corr,dense,6,1000,903,inforest,494,2.696000
1000,inforest,neg_weakly_corr,dense,7,1000,874,inforest,539,2.452000
1000,inforest,neg_weakly_corr,dense,8,1000,899,inforest,477,7.982000
1000,inforest,neg_weakly_corr,dense,9,1000,899,inforest,479,5.175000
1000,inforest,neg_weakly_corr,dense,10,1000,893,inforest,490,2.701000
1000,inforest,neg_weakly_corr,medium,1,1000,575,inforest,703,0.641000
1000,inforest,neg_weakly_corr,medium,2,1000,560,inforest,680,0.691000
1000,inforest,neg_weakly_corr,medium,3,1000,583,inforest,677,0.677000
1000,inforest,neg_weakly_corr,medium,4,1000,607,inforest,652,1.251000
1000,inforest,neg_weakly_corr,medium,5,1000,602,inforest,658,0.881000
1000,inforest,neg_weakly_corr,medium,6,1000,607,inforest,640,0.882000
1000,inforest,neg_weakly_corr,medium,7,1000,603,inforest,681,0.737000
1000,inforest,neg_weakly_corr,medium,8,1000,593,inforest,664,1.067000
1000,inforest,neg_weakly_corr,medium,9,1000,609,inforest,675,1.093000
1000,inforest,neg_weakly_corr,medium,10,1000,578,inforest,683,0.990000
1000,inforest,neg_weakly_corr,sparse,1,1000,317,inforest,832,0.361000
1000,inforest,neg_weakly_corr,sparse,2,1000,294,inforest,844,0.344000
1000,inforest,neg_weakly_corr,sparse,3,1000,299,inforest,842,0.363000
1000,inforest,neg_weakly_corr,sparse,4,1000,305,inforest,841,0.522000
1000,inforest,neg_weakly_corr,sparse,5,1000,280,inforest,850,0.476000
1000,inforest,neg_weakly_corr,sparse,6,1000,317,inforest,838,0.363000
1000,inforest,neg_weakly_corr,sparse,7,1000,303,inforest,829,0.352000
1000,inforest,neg_weakly_corr,sparse,8,1000,282,inforest,845,0.561000
